title,blog,url,chars,gated,n_rule,rules
Skill or Luck? We Ran 100 Million Bitcoin Backtests to Show You How to Tell,Rulyfi,https://rulyfi.com/blog/100-million-backtests-deflated-sharpe,32946,0,7,"7 yr) Directions long + short leg (short modeled on the price series) Variations V = 1,443 across 20 indicator cards Combos C(1443,2) = 1,040,403 combos, times 48 exit units: take-profit (TP) {3,4,5,6}% by stop-loss (SL) {2,3,4,5}% by time-limit (TTL) {120,240,480} bars, i. || 4442 (short): the hurdle scaled by the cross-sectional spread of Sharpe across each direction's trials, about 0. || The best strategy with 100 or more trades, a long BB(20,1)+StochRSI at +684%, Sharpe 5. || 58, and across configurations, long-side and short-side performance correlate at just 0. || The best single component on that pooled hurdle was the top pair's own short leg at 0. || The top pair was a long MACD(16,13,5)+BB(50,2) [37 trades, +168%] combined with a short MACD(16,37,6)+StochRSI(3,4,28,22) [35 trades, +157%], giving 72 trades at a per-trade Sharpe of 0."
How Many Backtests Is Too Many? We Ran the Same Search Twice to Find Out,Rulyfi,https://rulyfi.com/blog/how-many-backtests-is-too-many,25025,0,5,"8M trials), and the best short +53% at 83% (DSR 0. || 726 long above the bar (trades≥30): 0 → 3,798 1. || 721 short above the bar (trades≥30): 0 → 840 dashed: run B's best raw per-trade Sharpe, trades≥30 The luck bar SR* for the same search run twice: run A with all 20 indicator-timeframe slots, run B with the four rare-signal slots removed. || The 372 long and 137 short strategies that passed a four-condition screen (30-plus trades, above the bar, positive walk-forward, no negative fold) are candidates that earned a second look, not proven edges. || 919 Pooled long + short both of the above, one stream as above 138 76."
RUT Iron Condor - Dynamic Exit Overview - 66 DTE,DTR Trading,http://dtr-trading.blogspot.com/2015/01/rut-iron-condor-dynamic-exit-overview_28.html,6127,0,4,"Initial Credit % Profit Exit - for example, close the position for a profit if the P L reaches 60% of the initial credit. || To see how these various exits perform, I have included a chart showing the equity curves (in percent terms) for the three starting structures (Standard [STD], Delta Neutral [DN], Extra Long Put [EL]) on the RUT at 66 DTE for the 12 delta short variation. || There are three different exit versions shown in the chart above: ML40% - this is a Margin Loss % Exit. || Trades using this exit strategy either exit at 8 DTE OR if the trade has a loss greater than 40% of the margin requirement for the trade."
How to Design a Simple Multi-Timeframe Trend Strategy on Bitcoin,Quantpedia,https://quantpedia.com/how-to-design-a-simple-multi-timeframe-trend-strategy-on-bitcoin/?a=6080,16700,0,4,"Close position (Flat) when the MACD line crosses below the signal line. || The rules are straightforward: go long when the MACD line crosses above the signal line and close the position when it crosses below. || If D1 shows an uptrend, execute long entries only when the H1 MACD crosses upward. || After entering a long position, we continue holding as long as hourly bars remain positive, meaning each candle closes higher than it opens."
Overnight Returns: Risk or Conspiracy?,Falkenblog,https://efalken.substack.com/p/overnight-returns-risk-or-conspiracy,12072,0,3,These are the returns from the NYSE close at 4 pm to the NYSE open at 9:30 am. || 1 Day returns are for NYSE open at 9:30 am to close at 4:00 pm; night returns are from NYSE close to the next NYSE open (they thus include weekend returns). || One tactic would be to use some of your wealth—which you can borrow against on Maker or Aave—to buy the coin at night when there is low liquidity and sell in the day when liquidity is high.
RUT Iron Condor - Dynamic Exit - 80 DTE Results Summary,DTR Trading,http://dtr-trading.blogspot.com/2015/05/rut-iron-condor-dynamic-exit-80-dte.html,6433,0,3,"To be consistent with all of the earlier backtests posted on this blog, we looked at 80 DTE Iron Condors initiated with short strikes at four different locations: 8 delta, 12 delta, 16 delta, and 20 delta. || To review, the three RUT Iron Condor starting structures were composed of 20 point wide credit spreads with short strikes at the specified delta mentioned above, and defined as: Standard (STD) : 10 put credit spreads, and 10 call credit spreads. || Trades using this exit strategy either exit at 8 DTE OR if the trade has a loss greater than 40% of the margin requirement for the trade."
RUT Iron Condor - Dynamic Exit - 52 DTE Results Summary,DTR Trading,http://dtr-trading.blogspot.com/2015/04/rut-iron-condor-dynamic-exit-52-dte.html,6871,0,3,"To be consistent with all of the earlier backtests posted on this blog, we looked at 52 DTE Iron Condors initiated with short strikes at four different locations: 8 delta, 12 delta, 16 delta, and 20 delta. || To review, the three Iron Condor starting structures were composed of 20 point wide credit spreads with short strikes at the specified delta mentioned above, and defined as: Standard (STD) : 10 put credit spreads, and 10 call credit spreads. || Trades using this exit strategy either exit at 8 DTE OR if the trade has a loss greater than 40% of the margin requirement for the trade."
RUT Iron Condor - Dynamic Exit - 38 DTE Results Summary,DTR Trading,http://dtr-trading.blogspot.com/2015/03/rut-iron-condor-dynamic-exit-38-dte.html,5823,0,3,"To be consistent with all of the earlier backtests posted on this blog, we looked at 38 DTE Iron Condors initiated with short strikes at four different locations: 8 delta, 12 delta, 16 delta, and 20 delta. || To review, the three Iron Condor starting structures were composed of 20 point wide credit spreads with short strikes at the specified delta mentioned above, and defined as: Standard (STD) : 10 put credit spreads, and 10 call credit spreads. || Trades using this exit strategy either exit at 8 DTE OR if the trade has a loss greater than 40% of the margin requirement for the trade."
Two Strategies you can start trading tomorrow - Time of Day effects in FX continued,Quant Journey,http://quantsjourney.blogspot.com/2017/09/two-strategies-you-can-start-trading.html,19919,0,3,"Strategy one: Short at GMT 09:15 am, do this on Wednesday, Thursday and Friday, close after 5 hours. || If you enter a EURUSD short at 9am everyday then close after 5 hours the EURUSD will produce a nice equity curve. || Please buy Etherium with my 20% and send me the money once it reaches USD 1m:) Delete Replies Reply QTJ September 16, 2017 at 11:02 AM And Khalid, try the filter that i am mentioning in this post: http://quantsjourney."
What Should You Change First in a Crypto Backtest? 99.75 Million Tests,Rulyfi,https://rulyfi.com/blog/which-backtest-knob-changes-what,22119,0,3,"For exit sensitivity, we reversed the calculation: fix one exit, take the median across the 76,000 cross-family entries, repeat across 125 exits, then measure the middle 50% range of the exit-level medians. || The effect ratio in this article is: R = exit sensitivity ÷ entry sensitivity R below 0. || Entry versus exit sensitivity by outcome R = exit sensitivity ÷ entry sensitivity, 76,000 cross-family entries per job Entry-led, R 0."
Country ETF Rotation,Alvarez Quant Trading,http://alvarezquanttrading.com/2017/01/25/country-etf-rotation/,15540,0,3,"What about adding a filter to not enter an ETF when it is highly correlated with the S P 500? || Buy the top (2) ETFs on the next open But if the ETF is below the their (6,12) monthly moving average, then instead of buying the ETF buy the alternative ETF(IEF) Results A slight improvement but still not very good. || Try to add reversion logic to your momentum say, rank short-term returns, if it is too high ETF gets low score, if it is too low high score."
Hi-Lo Index as a Market Timing Indicator,Alvarez Quant Trading,http://alvarezquanttrading.com/2015/11/11/hi-lo-index-as-a-market-timing-indicator/,8319,0,3,"Exit 2 period RSI greater than 80 Exit on open next day Misc. || The new additional setup rule is: Close of SPX is greater than the 200 day of the moving average of SPX closes. || For example, instead of New Highs minus New Lows, you could use RSI(x) 70 minus RSI(x) 30 or even Close above MA(200) minus Close below MA(200)."
Backtesting a Dividend Strategy,Alvarez Quant Trading,https://alvarezquanttrading.com/blog/backtesting-a-dividend-strategy/,8822,0,3,"Buy on the next open Sell Rules If stock is removed from the index during the year, sell the next day At end of year sell all positions Sell on the next open Base Results My data provider has the Aristocrats total return index, SPDAUDTR, which I will compare against. || Rule Changes from Base Buy Stock must be above MA200 Set up now at end of each month Sell If at end of month, stock is under MA200 Surprisingly no real change in the numbers. || Rule Changes from Base Buy SPX must be above MA200 Set up now at end of each month Sell If at end of month, SPX is under MA200."
Trading the Spread: Bitcoin ETFs vs. Cryptocurrencies Infrastructure ETFs,Quantpedia,https://quantpedia.com/trading-the-spread-bitcoin-etfs-vs-cryptocurrencies-infrastructure-etfs/?a=6080,18714,0,2,"-100% short if the long leg has a significantly higher beta than the short leg). || After constructing the spread, we focused on the most basic trading strategies – opening long positions when the spread indicated the undervaluation of Bitcoin in contrast with related crypto-infrastructure companies and opening short positions when we observed perceived overvaluation of Bitcoin."
Bitcoin ETFs in Conventional Multi-Asset Portfolios,Quantpedia,https://quantpedia.com/bitcoin-etfs-in-conventional-multi-asset-portfolios/?a=6080,22582,0,2,"Entry signal Enter a long position when a new 10-day high is reached. || Exit signal Close position, when current close price is not a 10-day high."
How To Profitably Trade Bitcoin’s Overnight Sessions?,Quantpedia,https://quantpedia.com/how-to-profitably-trade-bitcoins-overnight-sessions/?a=6080,19292,0,2,"Therefore, our first step was to check how the trend-following strategy that buys new local highs (5, 10, 20, 30, 40, or 50-days) performs if we limit our trading decisions and can trade only on the ETF market close at 4 pm on days when the NYSE is open. || This simple strategy (buy a Bitcoin in the form of cryptocurrency, futures contract, CFD, or ETF at NYSE close, when Bitcoin is on the local X-day high, hold for one trading day) can be easily executed with ETFs from 2021 onwards."
A Dead Simple 2-Asset Portfolio that Crushes the S&P500 (Part 4),Black Arbs,http://www.blackarbs.com/blog/a-dead-simple-2-asset-portfolio-that-crushes-the-sampp500-part-4,9408,0,2,"Also the average of the 5 worst drawdown durations are very close to our target of less than 120 days, and the average of the 5 worst drawdowns is less than 15%. || Parameters were not optimized, however there was an alternate variation tested where the long indicator window was set at 250 days."
RUT Iron Condor - Dynamic Exit - 38 DTE - 8 Delta,DTR Trading,http://dtr-trading.blogspot.com/2015/02/rut-iron-condor-dynamic-exit-38-dte-8.html,3723,0,2,"Trades using this exit strategy either exit at 8 DTE OR if the trade has a loss greater than 40% of the margin requirement for the trade. || The next best exit, exited trades when the price of the underlying moved below the short strike of the put credit spread."
A simple statistical edge in SPY,Trading with Python,http://tradingwithpython.blogspot.com/2016/02/a-simple-statistical-edge-in-spy.html,5034,0,2,"Is it observe the close long the close, or is it observe close, enter at next open? || com/forum/discussion/1029/buy-spy-after-3-days-down-move Reply Delete Replies Reply Unknown March 4, 2016 at 9:10 AM Could this strategy be consistent with shorter timeframes, aka minute data, or even seconds data?"
Seasonality in Bitcoin Intraday Trend Trading,Concretum Group,https://concretumgroup.com/seasonality-in-bitcoin-intraday-trend-trading/,6989,0,2,"For comparison, a volatility-targeted long-only Bitcoin portfolio (20% target volatility) delivered a Sharpe ratio just below 0. || When the benchmark rises, it indicates the presence of persistent and exploitable trends (long or short); when it declines, it highlights periods characterized by weaker trends and more mean-reverting price behavior."
The Seasonality of Bitcoin,Quantpedia,https://quantpedia.com/the-seasonality-of-bitcoin/?a=6080,12507,0,2,"Based on the previous results, we proposed a simple seasonality strategy with a simple rule: buy Bitcoin at 21:00 (UTC +0) and sell it at 23:00 (UTC +0). || Our new findings confirmed the abovementioned strategy with a simple rule: buy Bitcoin at 21:00 (UTC +0) and sell it at 23:00 (UTC +0)."
A Key New Momentum Measure to Consider: Distance from 1-Year High,Allocate Smartly,https://allocatesmartly.com/a-key-new-momentum-measure-to-consider-distance-from-1-year-high/?aff=634,7264,0,2,"At the close on the last trading day of the month, if the 12-month change in price is positive we go long, otherwise we move to cash. || The results: Below we ve broken down the next month s annualized return when our baseline strategy is signaling a long position, based on the distance (0% to 100%) from the high at the time the position is taken."
S&P 500 Dividend Aristocrats,Alvarez Quant Trading,https://alvarezquanttrading.com/blog/sp-500-dividend-aristocrats/,4003,0,2,"Also tested without this rule Buy on the next open Ranking Below are the raking methods. || Also tested without this rule At the end of the month, sell if $SPX under MA200."
Free Friday #19 – Long/Short Small Caps and June Update,Build Alpha,https://www.buildalpha.com/free-friday-19-longshort-small-caps-and-june-update/,2398,0,2,The long strategy rules are simple and all trades exit at the next day’s open. || High[3] = Low[7] The short strategy rules are simple as well and all trades exit at the next day’s open.
The 50/50 SPY Strategy,Alvarez Quant Trading,https://alvarezquanttrading.com/blog/the-50-50-spy-strategy/,10996,0,2,"Leave a reply: &#xf00d; Cancel Reply Rusty - May 7, 2019 &#xf064; Reply In “The 30-Minute Trader” Laurens Bensdorp advises to exit equities when the SPY closes below the 200-day SMA -1% and I have adopted that rule. || As for when to re-enter equities, it makes no sense (to me) to wait until SPY is above the 200-day for 5 days."
Gold Cross-Asset Momentum,Allocate Smartly,https://allocatesmartly.com/gold-cross-asset-momentum/?aff=634,6274,0,2,"Strategy rules: It doesn t get simpler than this: At the close on the last trading day of the month, measure the 12-month total return of gold (represented by GLD) and 10-year US Treasuries (IEF). || If the 12-month return of both GLD and IEF is positive, go long GLD at the close, otherwise move to cash ."
Sector trading using the 200-day moving average – Part 2,Alvarez Quant Trading,http://alvarezquanttrading.com/2017/08/23/sector-trading-using-the-200-day-moving-average-part-2/,3310,0,2,SPY MA200 10 day Buy Rule: Buy SPY when it is above the 200-day MA for 10 or more days. || Sell Rule: Sell SPY when it is below the 200-day MA for 10 or more days.
FX Trend-Following: A Walk-Forward Validation Study,Quant Insti,https://www.quantinsti.com/articles/trend-following-strategies-major-currency-markets/,22380,0,2,"Moving-Average Crossover (MA): go long when the fast moving average crosses above the slow moving average, short on the reverse cross. || Channel Breakout: go long when price breaks above the rolling high, short when it breaks below the rolling low."
Trending Fast and Slow,Allocate Smartly,https://allocatesmartly.com/trending-fast-and-slow/?aff=634,6852,0,2,"At the close on the last trading day of the month, measure the 1-month (1) volatility of the S P 500 price index (2) , based on daily data. || The effect is less pronounced with long-only returns (see table below), but slow momentum has the added benefit of keeping the investor in the market more often during low/normal vol markets, because it s not getting faked out by short-term dips in the market."
Single Indicator Strategy with Sharpe ~1 on SPY,Analytical Accuracy,https://quant007.wordpress.com/2015/02/16/single-indicator-strategy-with-sharpe-1-on-spy/,2245,0,2,2) Trigger a sell order if Close 99. || 5% * NDaysHigh; trigger a sell order if Close NDaysLow * 100.
Big boost for quant_rv going long/short SPY/SH (Part 11),Babbage9010,https://babbage9010.wordpress.com/2023/11/02/big-boost-for-quant_rv-going-long-short-spy-sh/,11848,0,2,"performance jumps again recap quant_rv is a simple quant strategy written in R that goes long SPY when volatility is low, and flat when vol is high. || If any of the 20 signals after the daily close says Vol Is Low , then we go long SPY the next day at the open even 19 signals saying VOL IS NOT LOW!"
Dangers of Relying on OHLC Prices – the Case of Overnight Drift in GDX ETF,Quantpedia,https://quantpedia.com/dangers-of-relying-on-ohlc-prices-the-case-of-overnight-drift-in-gdx-etf/?a=6080,12469,0,1,"On the other hand, the second scenario, in which the sell signal is executed at 9:31 AM, yields a significantly more realistic outcome."
RUT Iron Condor - Dynamic Exit - 80 DTE - 20 Delta,DTR Trading,http://dtr-trading.blogspot.com/2015/05/rut-iron-condor-dynamic-exit-80-dte-20.html,4197,0,1,Trades using this exit strategy either exit at 8 DTE OR if the trade has a loss greater than 40% of the margin requirement for the trade.
"Schwab Commission Free ETF Rotation System Backtest $SPY, $TLO, $PCY, $RWO, $SHY",Theta Trend,http://www.thetatrend.com/schwab-commission-free-etf-rotation-system-backtest-spy-tlo-pcy-rwo-shy/,6479,0,1,Allocate 50% of desired equity to each of the top two markets as long as the ETF s are trading above their 6 month moving average.
