title,blog,url,date,excerpt,host,txt,asset,off,ruleish,noise
Dual Momentum Allocation Between Physical Gold and Bitcoin (Digital Gold),Quantpedia,https://quantpedia.com/dual-momentum-allocation-between-physical-gold-and-bitcoin-digital-gold/?a=6080,"6 May 2026, 09:36pm","From the trading desk to the portfolio committee, investors face a familiar question: how should alternative stores of value fit into a diversified portfolio? This research explores that question through a systematic dual-momentum framework comparing Bitcoin and physical gold in a rules-based",quantpedia.com,"Dual Momentum Allocation Between Physical Gold and Bitcoin (Digital Gold) || From the trading desk to the portfolio committee, investors face a familiar question: how should alternative stores of value fit into a diversified portfolio? This research explores that question through a systematic dual-momentum framework comparing Bitcoin and physical gold in a rules-based",5,0,3,0
Skewness/Lottery Trading Strategy in Cryptocurrencies,Quantpedia,https://quantpedia.com/skewness-lottery-trading-strategy-in-cryptocurrencies/?a=6080,"21 Jun 2022, 09:37pm","A recent spring 2022 crisis in the cryptocurrency market emphasized the importance of market-neutral crypto trading strategies. It’s not enough just to HODL crypto market and hope for the everlasting bull market. Therefore, we continue our series of research articles about the cryptocurrency",quantpedia.com,"Skewness/Lottery Trading Strategy in Cryptocurrencies || A recent spring 2022 crisis in the cryptocurrency market emphasized the importance of market-neutral crypto trading strategies. It’s not enough just to HODL crypto market and hope for the everlasting bull market. Therefore, we continue our series of research articles about the cryptocurrency",5,0,2,0
Trading the Spread: Bitcoin ETFs vs. Cryptocurrencies Infrastructure ETFs,Quantpedia,https://quantpedia.com/trading-the-spread-bitcoin-etfs-vs-cryptocurrencies-infrastructure-etfs/?a=6080,"19 Mar 2025, 09:48pm","In this study, we explore the application of simple spread trading strategies using Bitcoin ETFs and cryptocurrency infrastructure ETFs—two highly correlated asset classes due to the broader influence of cryptocurrency market movements. Given their strong relationship, this setup provides a",quantpedia.com,"Trading the Spread: Bitcoin ETFs vs. Cryptocurrencies Infrastructure ETFs || In this study, we explore the application of simple spread trading strategies using Bitcoin ETFs and cryptocurrency infrastructure ETFs—two highly correlated asset classes due to the broader influence of cryptocurrency market movements. Given their strong relationship, this setup provides a",5,0,1,0
"Bitcoin, Ethereum and Altcoins: How to get free daily and intraday Bitcoin historical prices",Sanz Prophet,http://sanzprophet.com/2017/08/getting-data-and-free-historical-prices-for-bitcoin-ethereum-and-altcoins/,"15 Aug 2017, 01:23am","In order to analyze and build ‘crypto’ based trading strategies we need to get historical data for Bitcoin and other ‘large-cap’ coins such as Ether, Ripple, Dash, Monero, etc. But also for up and coming coins such as Neo, Stratis, IOTA and many more. In this post I will point you to two",sanzprophet.com,"Bitcoin, Ethereum and Altcoins: How to get free daily and intraday Bitcoin historical prices || In order to analyze and build ‘crypto’ based trading strategies we need to get historical data for Bitcoin and other ‘large-cap’ coins such as Ether, Ripple, Dash, Monero, etc. But also for up and coming coins such as Neo, Stratis, IOTA and many more. In this post I will point you to two",5,0,1,0
Pattern matching Cryptocurrencies,Ennlightenment,https://ennlightenment.wordpress.com/2017/05/14/pattern-matching-cryptocurrencies/,"15 May 2017, 12:27pm","Bitcoin, Ethereum and some other cryptocurrencies seem to be in the spotlight again due to their most recent acceleration. C_y2pGfXoAApvdI Source: CEOTechnician Ethereum is up multiples since January. I thought we could take a look at importing Etherum price data in R and then seeing if we can draw",ennlightenment.wordpress.com,"Pattern matching Cryptocurrencies || Bitcoin, Ethereum and some other cryptocurrencies seem to be in the spotlight again due to their most recent acceleration. C_y2pGfXoAApvdI Source: CEOTechnician Ethereum is up multiples since January. I thought we could take a look at importing Etherum price data in R and then seeing if we can draw",5,0,1,0
New related paper to #5 - FX Carry Trade and #8 - FX Momentum,Quantpedia,http://quantpedia.com/Blog/Details/new-related-paper-to-5-fx-carry-trade-and-8-fx-momentum,"1 Apr 2015, 04:11am","#5 - FX Carry Trade #8 - FX Momentum Authors: Olszweski, Zhou Title: Strategy diversification: Combining momentum and carry strategies within a foreign exchange portfolio Link: http://apps.olin.wustl.edu/faculty/zhou/O_Z_JHDF_2014.pdf Abstract: Hedge funds, such as managed futures, typically use two",quantpedia.com,"New related paper to #5 - FX Carry Trade and #8 - FX Momentum || #5 - FX Carry Trade #8 - FX Momentum Authors: Olszweski, Zhou Title: Strategy diversification: Combining momentum and carry strategies within a foreign exchange portfolio Link: http://apps.olin.wustl.edu/faculty/zhou/O_Z_JHDF_2014.pdf Abstract: Hedge funds, such as managed futures, typically use two",4,0,5,0
"New related paper to FX strategies #5, #8 and #9 - A New Look at Currency Investing",Quantpedia,http://quantpedia.com/Blog/Details/new-related-paper-to-fx-strategies-5-8-and-9-a-new-look-at-currency-investing,"11 Mar 2015, 09:23am","Related research paper has been included into existing free strategy reviews. #5 - FX Carry Trade #8 - FX Momentum #9 - FX Value – PPP Strategy Authors: Pojarliev, Levich Title: A New Look at Currency Investing Link: http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2571391 Abstract: The authors",quantpedia.com,"New related paper to FX strategies #5, #8 and #9 - A New Look at Currency Investing || Related research paper has been included into existing free strategy reviews. #5 - FX Carry Trade #8 - FX Momentum #9 - FX Value – PPP Strategy Authors: Pojarliev, Levich Title: A New Look at Currency Investing Link: http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2571391 Abstract: The authors",4,0,4,0
"Daily Long/Short Trend Following: Parameters, Asset Classes, and Universe Depth",Delphic Alpha,https://delphicalpha.substack.com/p/daily-longshort-trend-following-parameters,"21 Jul 2026, 07:56pm","I ran the same trend-following strategy across futures, stocks, FX, and crypto. On futures it produced a net Sharpe of 0.73. Crypto came in at 0.56. US stocks barely broke even at 0.42. FX was marginal at 0.24. Same signal, same methodology, four very different outcomes. All four have near-zero",delphicalpha.substack.com,"Daily Long/Short Trend Following: Parameters, Asset Classes, and Universe Depth || I ran the same trend-following strategy across futures, stocks, FX, and crypto. On futures it produced a net Sharpe of 0.73. Crypto came in at 0.56. US stocks barely broke even at 0.42. FX was marginal at 0.24. Same signal, same methodology, four very different outcomes. All four have near-zero",4,0,3,0
Is The Russell Breakout Likely To Spark A Rally In The SPX?,Quantifiable Edges,http://quantifiableedges.com/is-the-russell-breakout-likely-to-spark-a-rally-in-the-spx/,"17 May 2018, 01:03pm","The new high in the Russell is notable, since it is the 1st major index to get there. But it does not necessarily mean the other indices will follow. In the study below I looked at SPX performance following instances of a fresh RUT breakout while SPX had still not broken out. 2018-05-17 Whether you",quantifiableedges.com,"Is The Russell Breakout Likely To Spark A Rally In The SPX? || The new high in the Russell is notable, since it is the 1st major index to get there. But it does not necessarily mean the other indices will follow. In the study below I looked at SPX performance following instances of a fresh RUT breakout while SPX had still not broken out. 2018-05-17 Whether you",4,0,2,0
Bitcoin ETFs in Conventional Multi-Asset Portfolios,Quantpedia,https://quantpedia.com/bitcoin-etfs-in-conventional-multi-asset-portfolios/?a=6080,"3 Sep 2025, 01:49am","Understanding how Bitcoin-related instruments can fit into traditional portfolios is increasingly relevant for investors. Some risk-averse investors do not like to hold cryptocurrencies in their portfolios strategically; however, they may be open to investing in crypto-linked assets on a tactical",quantpedia.com,"Bitcoin ETFs in Conventional Multi-Asset Portfolios || Understanding how Bitcoin-related instruments can fit into traditional portfolios is increasingly relevant for investors. Some risk-averse investors do not like to hold cryptocurrencies in their portfolios strategically; however, they may be open to investing in crypto-linked assets on a tactical",4,0,1,0
