slug,chars,gated,n_rule,asset,asset_hits,off,ext,rules
9-ema-strategy,16103,0,12,CRYPTO,9,3,1,"In this approach, a buy signal is generated when a security s price crosses above the 9-day EMA, while a sell signal occurs when the price moves below it. || In this strategy, a buy signal is generated when the price of a security moves above the 9 EMA, and a sell signal is generated when the price moves below the 9 EMA. || Here s an example: 9 EMA trading strategy buy and sell signals The chart above in Bitcoin shows the 9-day EMA in red and green arrows show when the close crosses above the EMA line, and the red arrows show when the close crosses below. || Buy and Sell Signals : It generates buy signals when the price of a given security is above the 9 EMA, and sell signals when the price is below. || A sell signal was generated when the price is below 9 EMA and RSI pulling from overbought is the confirmation to enter the trade. || Buy and sell signals are indicated on the chart below."
macd-trading-strategy,26010,6,6,CRYPTO,5,0,3,"Buy when the fast line crosses above the slow signal line The above criterion is taken from Alexander Elder s Trading For A Living . || The code in Amibroker is like this: Fast = EMA(C,12) EMA(C,26); Slow = EMA(Fast,9); Buy = Cross(Fast, Slow); buyPrice = Close; Sell = Cross(Slow, Fast); sellPrice = Close ; The strategy is certainly untradeable. || To make a strategy optimization we need to rewrite the code: Opt1 = Optimize( ShortEMA ,2,2,15,1); Opt2 = Optimize( LongEMA ,20,6,25,1); Opt3 = Optimize( Slow ,5,5,15,1); Fast = EMA(C,Opt1) EMA(C,Opt2); Slow = EMA(Fast,Opt3); Buy = Cross(Fast, Slow); buyPrice = Close; Sell = Cross(Slow, Fast); sellPrice = Close ; This gives 3080 optimization steps. || Traders can initiate a buy trade when the fast MACD line crosses above the slow signal line, indicating a potential bullish trend. || Conversely, a sell trade can be initiated when the slow signal line crosses above the fast MACD line, suggesting a possible bearish trend. || A common strategy is to buy when the fast line crosses above the slow line and sell when the slow line crosses above the fast line."
20-ema-trading-strategy,8296,0,2,CRYPTO,9,0,0,"Let s establish the trading rules: Trading Rules We buy the asset when the 20-day EMA is under the asset price We sell the asset when the 20-day EMA is over the asset price 20 EMA trading strategy backtest We backtested the strategy using the ETF version of the S P 500, SPY. || We make the following trading rules: we go long when the price breaks above 20 EMA, and we sell when the opposite happens."
end-of-month-effect-in-bitcoin,8178,2,2,CRYPTO,34,1,0,"To make a turn of the month trading strategy we start by doing optimization of both the entry and the exit: we enter at the close x days prior to the new month, and we exit n days after we enter a new month. || For example, row 1 enters at the close on the tenth last trading day of the month and exits at the ninth trading day of the new month."
simple-moving-average-trading-strategy,26107,2,10,EU,3,1,0,"By analyzing the movements of the SMA, traders can spot potential buy or sell signals when prices cross above or below the SMA. || A Simple Moving Average (SMA) Trading Strategy involves using the SMA indicator to identify potential buy or sell signals based on the price of an asset relative to its average price over a specific period. || As you can see, the close crosses up and down frequently by using a 15-day moving average. || A moving average crossover occurs when a short-term simple moving average crosses over a long-term simple moving average, signaling potential market trend changes. || This we can see in table one where it s clearly much more profitable to buy when the close crosses below a short-term moving average than compared when it crosses above. || However, as the moving average gets longer, it turns upside down: then it s getting more and more profitable to buy when the close crosses above the simple moving average."
52-week-high-strategy,18930,6,7,EU,3,2,1,"The “52-week high strategy” is an approach that goes against the classic “buy low, sell high” mantra: instead, it aims to buy stocks that are near their 52-week highs on the premise that such stocks may outperform those further away from their highs. || The same also applies when the price breaches the 52-week low intraday but fails to close at a new 52-week low. || In these cases, the failure to close above/below the 52-week high/low after breaching the levels intraday has a very significant implication, especially for short-term traders. || They may buy a stock when the price exceeds its 52-week high, or sell when the price falls below its 52-week low. || The same applies when the stock trades lower than the 52-week low during a trading session but fails to close below it to create a new 52-week low. || We summarize the results in this table: Exit after 5 days Exit after 10 days Exit after 50 days Exit after 100 days Buy new 52-week highs -0."
lump-sum-investment-strategy,15374,2,2,EU,3,6,1,"(We have plenty more) Dollar Cost Averaging Strategy A 64-year backtest of a Lump Sum Investment Strategy, demonstrating how a simple buy-and-hold approach on the S P 500 can transform a $100,000 investment into over $56 million. || This causes the investor to buy more shares when prices are lower and less when prices are higher."
trading-the-futures-expiration-week-in-dax-40,9223,2,2,EU,45,3,0,"We invest at the close of the Friday when the futures contracts expire, and we hold for one week and sell at the close the next Friday. || We backtested by going long from the close of the week before and selling at the close of the options expiration week."
london-breakout-strategy,15305,0,7,FX,32,0,0,"For instance, entering a long position on a breakout above the high of the Asian session range and exiting at various times between 12:00 and 17:00 London time often resulted in losses. || Similarly, taking short positions on breakouts below the low did not yield consistently profitable outcomes. || The open-close range The method ignores the candle wicks and focuses on the highest and lowest opening/closing prices of the Asian trading session to define the range (the body of the candlestick). || Retail traders tend to put their buy and sell stop orders above and below the Asia trading range in anticipation of a breakout. || We use a time exit (no stops or profit targets) at 1200, 1300, 1400, 1500, 1600, and 1700 London time. || Let s look at the results for the different time stops when we enter long on a breakout above the high: A detailed look at the London Breakout Strategy: Rules and Backtest Performance metrics, highlighting the statistical reality of session-based breakout trading."
cta-trading-strategy,17941,0,3,FX,4,6,3,"Traders enter positions when a trend is established and exit upon its reversal, often utilizing technical indicators like moving averages to determine entry and exit points. || So, if they have an asset universe of 20 assets that are ranked according to their performance over the last 3 months, they may go long on the top 5 and go short on the bottom 5. || We start by using the 200-day moving average trading strategy : we are long S P 500 when the close is above the 200-day moving average, and we are out of the market when it s below."
bollinger-bands-trading-strategy,50566,0,8,GOLD,7,2,1,"We backtested a Bollinger Breakout strategy for the S P 500 from 1960 until today and got the following equity curve: We use a long lookback period and buy when the close ends above the upper band and sell when it crosses below the lower band. || During an uptrend, traders may consider opening long positions when the price rebounds from the upper band. || They might then choose to exit these positions should the price fall below the middle band. || In a downtrend, the strategy involves entering short positions when the price rebounds from the lower band. || One strategy is to buy when the price drops below the lower Bollinger Band and to sell when it exceeds the upper Bollinger Band. || Let s test to go long the gold price (GLD) if the close is above one standard deviation from the 10-day moving average."
macd-histogram,8135,2,5,GOLD,4,6,3,"The exit is on the first day when the close is higher than before. || Here is an example (the exit was on the close the day after because the ETF rose in price): For short it is vice versa. || Avoid Weak Signals: Do not enter trades when the histogram is flat or hugging the zero line, as this indicates low momentum. || This strategy s entry point is the close, and the exit point is on the first day when the close is higher than the previous day s close. || It triggers a buy signal when the histogram crosses above the zero line and a sell signal when it crosses below the zero line."
123-pattern-reversal-strategy,15558,0,3,GOLD,9,4,0,"Some people use buy stop orders placed above point 2. || For example, an exit after 20 days has a profit factor of 2. || Below is the equity curve when we exit after 20 days: Can the strategy be improved?"
5-day-low-overnight-trading-strategy,5912,2,3,GOLD,5,7,0,"This strategy involves entering trades at the close and exiting when the market opens the next day. || The 5-day low overnight trading strategy involves trading the S P 500 when it opens at a 5-day low, but the close is higher than the open. || Traders enter the trade at the close and exit at the open the next day."
gold-overnight-trading-strategy,13874,0,3,GOLD,71,0,3,"The strategy involves buying gold futures contracts or the gold miners ETF at the close of the market and selling them the next day at the open. || The strategy involves buying gold futures contracts (or GLD) or the gold miners ETF (GDX or GDXJ) at the close of the market and selling them the next day at the open. || Traders buy assets at the close of the market and sell them the next day at the open, seeking to capture overnight price movements."
gold-moving-average-strategy,9432,0,2,GOLD,58,0,1,This strategy involves taking a long position when the gold price is above the 12-month moving average and moving to cash when it falls below. || 100 000 invested in 1971 grew to 10 million by using the 12-month moving average system while buy and hold ended at only 4 million.
inside-day-trading-strategy,11426,2,2,GOLD,3,5,0,"If one and two are true, then enter at the close. || Exit at the close when today s close is higher than yesterday s high."
overnight-trading,11917,0,2,GOLD,13,1,0,Orders for overnight trading are placed at or just before the close and sold at or near the open the next day. || You sell at the open the next day or put in a limit or market order at or very near the opening bell.
holiday-effect-trading-strategy,22723,2,18,US,9,3,2,"We test the holiday effect in February this way: We go long at the close on the first calendar day of the month that is higher than 11. || We exit at the calendar day 21 or more. || Let s test the following hypothesis: We go long at the close the Wednesday prior to Memorial Day. || We exit at the close on the first trading day of June. || Let s test the following hypothesis: We buy the S P 500 at the close of the second last trading day of June. || For example, we buy at the close on the 29th of June so we are long on the open of the last trading day of June."
turnaround-tuesday,18121,0,15,US,12,2,0,", close lower than Friday’s close) and selling Tuesday shows historically positive returns, suggesting a tradable edge when weakness is present. || For example, if the market is down on a Monday compared to Friday s close, you are likely to get above-average returns in the next few days. || The close must be at least 1% lower than Friday’s close. || If one and two are true, then enter at the close. || If 1-3 are true, then enter at the close. || ): As you can see, buying at the close on a Monday is twice as good as buying on the Tuesday close, not to mention the other days, which are even less profitable."
the-option-expiration-week-effect,35571,0,13,US,17,6,3,"If the price is higher, the option is in-the-money (ITM), has intrinsic value, and the owner will exercise the option to buy the underlying security at 120. || For example, if you have issued puts with a strike at 50, you are obligated to buy those shares if the share price is lower at expiration. || For example, if we enter on Monday at the open or the prior Friday at the close, give a different ranking of the best month. || If we enter at the close of the last trading day before the options expiration week, usually a Friday, the average gain increases to 0. || Although improving it is very difficult, we have considered adding a simple moving average filter: On the day before the expiration date, we check whether the SPY close is above its 50-day moving average. || If it is, we buy at the closing price and sell at the closing price the following day."
death-cross-in-trading,12627,0,12,US,3,0,2,"A Death Cross occurs when a short-term moving average crosses below a long-term moving average, typically the 50-day and 200-day moving averages . || If you use a Death Cross strategy to exit and a Golden Cross to re-enter, your total returns usually mirror long-term market averages. || When the short-term moving average descends below and crosses the long-term moving average, we have a Death Cross in trading . || In the backtests below we exit the trade N-days after the signal: between 10 and 200 days with intervals of 10 days 20 tests in total. || The results indicate that the Death Cross signals lower returns than a random period in the short term (less than 30 days), but for periods longer than 30 days the return is on average positive and more or less in line with the random long-term returns. || What happens if we enter a position on a Death Cross and sell at a Golden Cross (the opposite, see more below)?"
ohl-trading-strategy,15185,2,11,US,4,7,2,"A buy signal is generated when the open price is the same as the low price for the day, while a sell signal is generated when the open price is the same as the high price for the day. || The other part of the OHLC price bar is the close, which is the price at which the price closes for the day. || To put it simply, a buy signal is generated when the open price is the same as the low price for the day, while a sell signal is generated when the open price is the same as the high price for the day. || Likewise, you go short only if the OHL sell signal occurs below the CPR levels. || Typically, a buy or a sell signal is generated within that first five minutes — if open = low, the day might be bullish, so you look to go long, but if open = high, the day might have a bearish sentiment, so you look to go short. || Thus, the green arrow signals a buy at the next bar open, and the red arrow signals when we exit."
when-to-sell-a-stock-or-position,11877,2,11,US,4,3,2,"The best trading rule for when to sell a stock or position is the QS exit: when today s Close is higher than yesterday s High. || We have named it the QS exit (after Quantified Strategies) because we were the first to use this simple but effective sell signal. || Let s look into more detail about the sell rule and why it s so effective: Back in 2002, we first started using our best exit for stocks and stock indexes: When today s close is higher than yesterday s high. || If you were long when the first white body candlestick appeared, you would be selling in the last few seconds before the close (because the close is higher than the highest print of yesterday). || As you can see, the red arrows are when the close is higher than the High of yesterday. || The close is substantially higher than yesterday s high, and we sell at the close for a quick profit."
how-to-make-money-overnight-trading,16634,0,9,US,10,0,0,"You do overnight trading by buying the close and either selling at the next day s open or close. || We have previously covered how you can buy at the close and sell at the next day s open in the S P 500. || We exit (or sell) on the open because the average gain from the open to the close has been zero during the last 30 years. || Is it possible to find trading edges that have a better edge by selling at the close (and not on the open) in S P 500? || In the examples below we enter at the close, and we sell at the close the day after, thus holding for 24 hours (or over the weekend if it s a Friday). || The lesson is this: Even if you, in the long term, manage an arithmetic average that is lower than the market s average, you can still outperform the market."
keltner-bands-trading-strategies,35601,2,9,US,4,0,1,"Trading Strategies: Mean Reversion: Traders may look to buy when the price closes below the lower band and sell when it moves above the central line, anticipating a return to the mean. || Momentum: Alternatively, entering long positions when the price breaks above the upper band can capitalize on strong upward trends. || You can use it as a mean reversion by buying when the price breaks below the bottom band, or you can do the opposite and go long when the price breaks above the upper band. || Trading Rules We make the following trading rules: The close is above the upper band. || Sell when the close is below the “typical price”. || What are the typical entry and exit points when using Keltner Channel for trading?"
